ax,ay,az,gx,gy,gz
-0.226318,1.984314,1.984314,24.099237,-86.190842,-16.900763
-1.132813,1.207275,1.984314,36.320610,-30.282442,-7.427481
-1.491699,-0.064453,1.984314,27.740458,42.839695,6.343512
-1.018311,-0.978271,1.984314,3.229008,91.282440,16.412214
-0.091797,-1.017578,-0.989258,-29.916031,77.732826,15.274809
0.844971,-0.106445,-2.000000,-37.778625,13.335877,3.671756
1.213623,1.188477,-2.000000,-24.175573,-58.946564,-10.007633
0.798096,1.984314,-0.429443,3.442748,-96.679390,-18.076336
-0.159668,1.984314,1.984314,28.274809,-77.572517,-15.694656
-1.079834,1.275879,1.984314,36.748093,-13.244275,-4.374046
-1.492676,-0.000977,1.984314,23.580153,58.572517,9.648855
-1.068115,-0.946045,1.984314,-2.847328,96.435112,17.480917
-0.195068,-1.052490,-0.727539,-27.519083,82.145035,15.916031
0.740234,-0.262451,-2.000000,-37.541985,23.725191,5.801527
1.204590,0.978516,-2.000000,-20.129770,-65.916031,-11.213740
0.947266,1.973633,-1.042480,6.816794,-97.503815,-18.396946
0.089844,1.984314,1.918701,29.770992,-74.977097,-15.366412
-0.844971,1.592041,1.984314,36.916031,-12.458015,-4.290076
-1.461914,0.403076,1.984314,23.473282,57.312977,9.274809
-1.295166,-0.691650,1.984314,-2.824427,94.900764,17.442749
-0.535400,-1.115234,0.301270,-27.778625,83.160309,16.480917
0.422363,-0.647705,-2.000000,-38.374046,27.954199,6.946565
1.109375,0.470459,-2.000000,-29.145039,-41.923664,-6.389313
1.144531,1.635742,-2.000000,-5.610687,-89.534348,-16.335878
0.520508,1.984314,0.549316,26.213741,-82.603050,-16.465649
-0.402344,1.978271,1.984314,36.816795,-26.832062,-6.877862
-1.217773,1.053711,1.984314,27.984734,42.610687,6.343512
-1.475586,-0.146240,1.984314,4.152672,89.587784,15.923664
-1.007080,-0.999023,1.984314,-21.748091,91.809158,17.541985
-0.137939,-1.042236,-0.872070,-36.862595,47.534351,10.381680
0.774170,-0.219727,-2.000000,-33.587788,-22.427481,-2.793893
1.207031,1.012451,-2.000000,-12.656488,-80.961830,-14.442748
0.931885,1.976563,-1.005371,14.267176,-95.938934,-18.213741
0.090576,1.984314,1.906250,33.343510,-59.900764,-12.236641
-0.830078,1.607910,1.984314,31.305344,28.603054,3.801527
-1.445557,0.452881,1.984314,9.816793,83.351143,14.603053
-1.311768,-0.656738,1.984314,-17.343512,95.519081,18.145039
-0.566895,-1.120117,0.413086,-35.381680,56.458015,12.083969
0.413818,-0.656738,-2.000000,-34.900764,-13.931297,-1.030534
1.118164,0.504395,-2.000000,-15.030535,-76.564888,-13.564885
1.119629,1.708740,-1.942627,12.877863,-96.442749,-18.305344
0.415527,1.984314,0.885986,33.312977,-62.404579,-12.992367
-0.538574,1.881836,1.984314,35.717556,5.549618,-0.824427
-1.317139,0.851318,1.984314,18.145039,70.312981,12.106871
-1.431641,-0.368896,1.984314,-17.900763,95.083969,18.137405
-0.816406,-1.084717,1.291992,-36.648853,55.198475,11.778625
0.159180,-0.888184,-1.635010,-35.312977,-16.580153,-1.740458
0.995361,0.168213,-2.000000,-14.488549,-77.832062,-13.763359
1.194580,1.408447,-2.000000,13.458015,-95.763359,-18.328245
0.696533,1.984314,-0.075928,33.412212,-63.526718,-13.259542
-0.207275,1.984314,1.984314,36.679390,1.229008,-1.534351
-1.067139,1.315430,1.984314,20.473282,64.893127,10.916031
-1.490479,0.119385,1.984314,-6.465649,96.374046,17.824427
-1.157471,-0.860352,1.984314,-34.618320,64.664124,13.343512
-0.353760,-1.096436,-0.230957,-37.251907,1.099237,1.694656
0.586426,-0.472168,-2.000000,-21.412214,-64.007637,-10.656488
1.163086,0.699707,-2.000000,5.175572,-96.160309,-17.954199
1.068604,1.796875,-1.695801,28.755726,-77.519081,-15.488549
0.320068,1.984314,1.166748,36.557251,-17.832062,-4.801527
-0.626709,1.806641,1.984314,24.740458,52.312977,8.312977
-1.367432,0.721924,1.984314,-1.030534,93.687019,17.076336
-1.395020,-0.473633,1.984314,-26.625954,85.183205,16.526718
-0.727783,-1.099121,1.011963,-38.076336,30.633587,7.221374
0.229248,-0.821289,-1.799072,-23.358778,-59.343510,-9.969465
1.017578,0.244629,-2.000000,2.946565,-95.435112,-17.786259
1.181885,1.480713,-2.000000,27.603054,-79.595421,-15.709924
0.600830,1.984314,0.240967,37.022900,-18.053434,-4.938931
-1.412109,-0.426758,1.984314,13.862596,78.541985,13.900764
-0.766846,-1.082275,1.145264,-38.297710,12.282443,3.923664
0.173340,-0.852295,-1.658203,-26.007633,-56.175571,-9.167939
0.976074,0.149902,-2.000000,-0.435115,-94.931297,-17.305344
1.196777,1.364746,-2.000000,24.893129,-84.000000,-16.351145
-1.336182,0.791504,1.984314,36.022900,-6.290076,-2.931298
-1.422852,-0.390625,1.984314,22.587786,60.564884,9.908397
-0.814209,-1.074219,1.325439,-3.030534,96.603050,17.458015
0.111816,-0.900635,-1.501953,-27.358778,82.435112,15.961832
0.939209,0.077148,-2.000000,-37.618320,25.160305,6.145038
1.203613,1.291260,-2.000000,-28.618320,-45.183205,-6.923664
0.772949,1.984314,-0.385742,-4.603054,-91.595421,-16.442749
-0.158447,1.984314,1.984314,21.343512,-88.633591,-16.786259
-1.057129,1.317871,1.984314,35.740459,-37.977100,-8.160305
-1.488281,0.081543,1.984314,29.931297,34.030533,4.938931
-1.121826,-0.895752,1.984314,-0.648855,95.145035,17.282442
-0.280518,-1.075195,-0.419189,-25.595419,85.938934,16.679390
0.635010,-0.395996,-2.000000,-37.656490,33.419846,7.305344
1.167725,0.756104,-2.000000,-30.290077,-36.877861,-5.709924
1.058105,1.808838,-1.659180,-8.832061,-87.007637,-15.633588
0.343018,1.984314,1.078613,16.969465,-94.458015,-18.068703
-0.562500,1.852539,1.984314,34.366413,-55.633587,-11.580153
-1.310303,0.857422,1.984314,34.557251,11.778625,0.725191
-1.443359,-0.313232,1.984314,16.824427,72.832062,12.770992
-0.878174,-1.044189,1.573486,-10.061069,97.770996,18.274809
0.015869,-0.952637,-1.242432,-36.000000,57.122139,12.053435
0.867187,-0.065186,-2.000000,-36.519085,-10.221375,-0.526718
1.209961,1.117188,-2.000000,-19.000000,-71.145035,-12.419847
0.890137,1.979492,-0.872803,7.702290,-96.580154,-17.809160
0.043457,1.984314,1.974121,30.160305,-73.763359,-14.641221
-0.846191,1.583008,1.984314,37.251907,-14.076336,-4.259542
-1.444092,0.443359,1.984314,25.167938,54.045803,8.832061
-1.308594,-0.641846,1.984314,0.099237,94.213737,17.152672
-0.581055,-1.101563,0.520752,-25.152672,86.664124,16.587786
0.362061,-0.689941,-2.000000,-37.908398,34.351147,7.717557
1.067871,0.380127,-2.000000,-25.778625,-54.251907,-8.893129
1.160400,1.546143,-2.000000,-1.114504,-94.290077,-16.877863
0.576904,1.984314,0.303467,24.030535,-85.641220,-16.427481
-0.362793,1.984314,1.984314,36.282444,-31.503817,-6.992366
-1.197021,1.087402,1.984314,28.427481,39.732826,6.137404
-1.469238,-0.161133,1.984314,4.656488,90.160309,16.076336
-0.945068,-1.029053,1.835938,-22.351145,90.519081,17.106871
-0.006836,-0.978027,-1.182617,-37.000000,40.076336,8.618320
0.876465,-0.043213,-2.000000,-31.580153,-31.778625,-4.732824
1.204834,1.197266,-2.000000,-1.000000,-94.167938,-17.274809
0.815430,1.984314,-0.568604,24.625954,-85.244278,-16.595419
-0.103271,1.984314,1.984314,36.641220,-28.847328,-6.770992
-1.009521,1.394775,1.984314,28.305344,42.053436,6.465649
