ax,ay,az,gx,gy,gz
0.925049,0.237549,0.163574,1.244275,4.549618,-6.740458
0.936523,0.213623,0.178467,-1.068702,0.229008,-7.259542
0.957764,0.205322,0.196533,1.335878,0.167939,-7.557252
0.961182,0.199707,0.190674,4.442748,0.641221,-6.977099
0.970947,0.234863,0.182617,8.312977,3.679389,-5.167939
0.949707,0.254150,0.170166,6.068702,5.847328,-4.267176
0.943848,0.251465,0.142090,3.022901,4.076336,-2.931298
0.971191,0.214600,0.156250,0.404580,5.412214,-2.801527
0.966309,0.214355,0.190430,5.809160,12.839695,-1.564885
0.942871,0.271484,0.171387,5.641222,16.503817,1.824427
0.947510,0.289551,0.156006,-4.290076,12.732824,1.122137
0.948242,0.243652,0.188232,-8.076336,11.946565,-0.435115
0.949951,0.193359,0.187500,-8.083969,13.198473,1.335878
0.965820,0.210937,0.210693,-4.129771,14.015267,-0.244275
0.946045,0.239990,0.207764,-3.267176,15.473283,1.496183
0.954834,0.270020,0.212402,-6.297710,11.992367,3.229008
0.958252,0.255615,0.223145,-8.900764,10.404580,2.732824
0.981201,0.258301,0.212646,-12.366412,9.709924,4.862596
0.994873,0.272705,0.247803,-14.053435,11.854961,5.564886
0.967529,0.282471,0.250244,-18.633587,12.381680,8.435115
0.963379,0.268311,0.194580,-26.137405,7.045802,10.946565
0.994141,0.234375,0.282227,-29.068703,4.946565,13.335877
1.022705,0.263428,0.243408,-31.656488,7.007634,13.908397
1.003174,0.274902,0.215088,-39.061069,7.656488,14.145039
1.016113,0.246338,0.170898,-47.687023,8.000000,15.625955
1.037109,0.190430,0.205811,-52.847328,10.206107,12.427481
1.062744,0.155273,0.280029,-44.137405,13.190840,16.755726
1.212891,0.266846,0.054687,-42.511452,19.137405,12.068703
1.315186,0.313721,0.404785,-43.229008,24.687023,4.954198
1.425293,0.319336,0.439209,-39.480915,36.488548,0.519084
1.507324,0.241699,0.545898,-31.961832,55.099236,-5.549618
1.575684,0.193115,0.646973,-18.557251,80.870232,-19.931297
1.589844,0.186768,0.852051,7.923664,106.679390,-29.435114
1.547852,0.153076,1.048096,51.427483,119.061066,-32.015266
1.458008,0.365479,0.970215,125.221375,127.557251,-46.938931
1.262451,0.618408,0.440430,179.587784,136.870224,-72.221375
1.010986,0.868164,-0.398926,169.511444,120.183205,-87.442749
0.891357,1.080811,-0.593262,109.396950,91.877861,-93.236641
0.827148,1.005859,-0.318848,41.923664,60.748093,-93.282440
0.903809,1.066162,-0.111084,19.221375,33.404579,-98.633591
1.083496,1.222900,-0.274658,-10.458015,20.793894,-110.679390
1.306885,1.338379,0.167236,-35.305344,34.625954,-128.106873
1.399170,1.386230,-0.042236,-50.190838,49.580154,-170.236649
1.280762,1.247559,-0.263916,-98.328247,46.213741,-212.175568
1.147705,1.049561,-0.110352,-141.229004,39.519085,-237.083969
1.167725,1.131348,0.032471,-160.793900,29.206106,-250.137405
1.243652,1.336670,0.028809,-178.488556,30.541985,-250.137405
1.191895,1.349854,0.016357,-201.297714,37.748093,-250.137405
