ax,ay,az,gx,gy,gz
-0.326660,-0.394775,1.984314,-33.068703,87.114502,27.320610
-0.361084,-0.377686,1.984314,-29.229008,89.206108,28.748091
-0.362061,-0.312744,1.984314,-32.786259,88.702293,26.900763
-0.376221,-0.214844,1.984314,-33.213741,96.969467,22.961832
-0.388428,-0.176514,1.984314,-29.534351,99.801529,24.496183
-0.379639,-0.121094,1.984314,-26.366413,103.061066,22.374046
-0.365723,-0.068604,1.984314,-24.122137,104.045799,20.305344
-0.356934,-0.011475,1.984314,-22.022902,102.862595,18.160305
-0.351807,0.035645,1.984314,-18.862595,107.557251,17.351145
-0.359619,0.134033,1.984314,-14.473283,104.587784,15.229008
-0.347900,0.161865,1.984314,-15.580153,100.702293,17.519083
-0.322021,0.200684,1.984314,-12.641221,103.763359,18.221375
0.624756,-0.750977,-1.202148,-18.030535,97.961830,20.236641
0.600830,-0.750244,-1.068848,-16.351145,98.541985,19.748091
0.547119,-0.749268,-0.917236,-14.007633,103.709923,23.465649
0.482178,-0.754150,-0.814209,-12.297709,102.282440,25.000000
0.450195,-0.739502,-0.624268,-3.045802,105.053436,25.984734
0.401123,-0.745361,-0.549316,1.839695,106.458015,28.061069
0.387451,-0.741943,-0.458984,9.213740,108.694656,30.748091
0.391602,-0.763428,-0.277344,13.893129,115.290077,34.404579
0.354004,-0.784424,-0.049072,18.969465,121.931297,35.450382
0.289551,-0.780762,0.083984,22.213741,129.427475,36.809162
0.227051,-0.799805,0.193359,3.290076,125.702293,39.893131
0.176025,-0.848389,0.424561,-5.396946,116.389313,39.091602
0.140381,-0.992249,-0.000061,-0.007634,-0.007634,-0.007634
0.090088,-0.755615,0.903809,9.106871,104.312981,34.442749
0.008545,-0.693604,1.130127,14.839695,102.610687,39.396946
-0.048828,-0.616211,1.310791,15.740458,92.358780,40.748093
-0.101318,-0.558350,1.607422,11.061069,88.603050,39.709923
-0.151367,-0.621094,1.863037,26.458015,86.694656,43.832062
-0.081055,-0.336670,1.984314,0.305344,95.618324,25.007633
-0.274658,-0.484619,1.984314,13.679389,84.183205,3.114504
-0.296631,-0.549072,1.984314,28.358778,89.114502,20.259542
-0.252686,-0.378662,1.984314,19.687023,110.610687,43.229008
-0.271729,-0.226318,1.984314,31.404581,105.786263,28.526718
-0.392578,-0.231445,1.984314,27.435114,95.152672,21.931297
-0.428467,-0.157959,1.984314,24.099237,81.282440,26.412214
-0.376465,-0.070557,1.984314,27.030535,68.267174,24.053434
-0.341309,0.028320,1.984314,32.061069,64.343513,24.190840
-0.320313,0.147217,1.984314,32.488548,58.625954,22.190840
-0.286133,0.246338,1.984314,33.000000,50.641220,19.343512
-0.242187,0.325439,1.984314,35.656490,42.129772,18.641222
-0.121582,0.500977,1.984314,33.603054,59.763359,14.709924
-0.139404,0.637695,1.984314,37.175571,42.343510,18.297710
0.019531,0.782227,1.984314,41.709923,37.061069,17.206106
0.081055,0.878174,1.984314,43.694656,26.648855,14.954199
0.189453,1.000732,1.984314,40.213741,18.709923,16.610687
0.299072,1.078369,1.984314,36.137405,4.465649,12.160305
0.429687,1.107178,1.984314,32.213741,-11.832061,10.984733
0.572266,1.142334,1.984314,33.106869,-18.236641,8.740458
0.677734,1.238281,1.984314,35.343510,-24.122137,7.519084
0.811035,1.326172,1.984314,34.992367,-35.625954,4.259542
0.943848,1.343994,1.984314,32.038166,-28.755726,4.824428
1.075684,1.357666,1.984314,30.396946,-36.328243,2.427481
1.177979,1.372314,1.823242,32.129772,-42.595421,0.755725
1.256104,1.384277,1.587891,32.786259,-47.923664,-0.412214
1.336914,1.350342,1.313721,34.114502,-53.595421,0.045802
1.419434,1.346680,1.120850,35.580154,-58.488548,-1.480916
1.507568,1.387695,0.939209,39.557251,-65.931297,-2.122137
1.568604,1.384766,0.756348,37.847328,-77.961830,1.732824
1.710449,1.359619,0.596680,33.671757,-86.122139,-0.992366
1.791016,1.343506,0.468262,29.549618,-94.656487,1.022901
1.823486,1.275635,0.248535,32.473282,-91.122139,2.977099
1.981445,1.340820,0.139648,27.564886,-104.007637,7.900764
1.984314,1.283691,-0.257568,19.679390,-122.854965,8.908397
1.984314,1.373047,-0.159912,15.297709,-86.801529,-24.213741
1.984314,1.062988,-0.481689,21.129770,-43.549618,-46.465649
1.984314,0.956299,-0.800293,20.725191,-60.099236,-16.763359
1.984314,1.145752,-0.873779,11.503817,-62.137405,-2.870229
1.984314,1.025391,-1.278564,2.564885,-65.954201,-19.351145
1.984314,0.827393,-1.497314,6.114504,-54.633587,-21.328245
1.984314,0.783203,-1.594238,10.427481,-35.114502,-17.435114
1.984314,0.889648,-1.757324,27.816793,-18.358778,-26.335878
1.984314,0.720459,-1.891602,23.198473,-15.885496,-20.687023
1.984314,0.752441,-2.000000,16.549618,-39.458015,6.679389
1.949951,0.681396,-2.000000,-23.954199,-102.671753,55.885498
1.984314,0.472412,-2.000000,-44.236641,-129.030533,50.847328
1.984314,0.352051,-2.000000,-41.022900,-105.977097,11.221375
1.984314,-0.375732,-2.000000,155.259537,132.755722,-250.137405
1.984314,-0.216309,-2.000000,179.488556,248.175568,-194.458008
1.426270,0.460937,-2.000000,157.961838,184.190842,-82.938934
1.327393,0.790527,-2.000000,106.839691,37.519085,-20.038168
1.645020,0.537109,-2.000000,30.641222,-65.839691,-2.030534
1.984314,0.195068,-2.000000,5.526718,-92.709923,-7.274809
