ax,ay,az,gx,gy,gz
0.853271,0.468018,0.407227,28.625954,16.458015,-10.900764
0.830078,0.446289,0.353271,24.465649,24.900763,-7.396946
0.785645,0.578369,0.628662,41.160305,28.381680,-11.435115
0.885986,0.775879,0.517822,43.534351,-15.847328,-11.740458
0.287354,0.514404,0.959717,31.908398,65.282440,2.442748
1.607422,0.966797,0.192383,46.167938,-50.992367,-23.167938
1.524658,0.804199,-1.694824,22.793894,-88.496185,-30.122137
1.647217,1.761475,0.330566,66.725189,-26.519083,-38.358780
-0.145508,0.703613,1.984314,-6.473282,146.221375,-7.083970
1.615234,0.984619,-2.000000,-10.229008,-53.053436,-35.122139
1.026367,1.862549,1.098145,5.198473,10.770992,-22.290077
0.825439,1.397705,1.581543,-22.000000,22.572519,-17.839695
1.220215,0.600098,-0.202148,-52.061069,-56.450382,-25.984734
0.678955,-0.701416,-1.040771,-90.587784,23.526718,-7.748092
0.460449,0.035889,1.205322,25.381680,56.198475,-5.725191
0.753174,-0.454590,-0.689209,9.854961,45.099236,29.938931
1.067139,0.438965,0.035889,60.763359,-23.480917,17.099237
0.660156,0.693604,0.411377,82.206108,-32.816795,23.160305
0.558350,0.632812,0.407227,68.954201,-30.900763,27.847328
0.625977,0.589600,0.290527,36.572517,-47.503819,31.496183
0.861328,0.532959,0.258057,-0.366412,-73.793892,30.603054
1.068359,0.260986,0.157715,-15.908397,-72.007637,40.251907
1.132324,0.001953,0.401123,6.190840,-23.267176,45.190838
1.155029,0.288574,0.790527,38.877861,-8.519084,25.175573
1.267090,0.447266,0.415039,35.923664,-6.206107,11.198473
0.998291,0.496582,0.500977,45.954197,54.190838,5.290076
1.042725,0.748779,0.521240,30.885496,9.793893,-1.335878
0.931152,0.691162,0.474609,14.374045,29.183207,2.435115
0.956787,0.633789,0.284912,-23.549618,-0.045802,4.129771
0.874023,0.489746,0.423828,-32.083969,23.862595,2.206107
0.757568,0.401123,0.281982,-35.488548,32.908398,9.625955
0.721924,0.447754,0.236572,-15.396947,9.045801,0.824427
0.694092,0.343018,0.355713,5.328244,3.633588,-4.213740
0.725342,0.231445,0.427490,21.427481,0.229008,2.328244
0.837891,0.153809,0.549805,53.175571,-3.816794,7.152672
0.970215,0.131348,0.541260,85.938934,-2.801527,11.618320
1.073242,0.197510,0.472168,124.068703,15.786260,12.274809
1.101318,0.384766,0.363037,157.480911,34.083969,11.847328
1.066650,0.708740,0.264893,164.503815,49.656490,9.236641
1.046875,1.015381,0.341309,158.465652,52.221375,-0.961832
1.044189,1.156982,0.401611,134.816788,48.809162,-11.061069
1.085693,1.160156,0.403076,109.435112,46.419846,-23.343512
1.159912,1.074951,0.320557,102.832062,53.694656,-42.152672
1.178223,1.048828,0.146729,100.832062,64.717560,-62.648853
1.065430,1.094971,-0.048584,97.595421,75.160309,-78.977097
0.868896,1.119873,-0.299805,87.603050,78.854965,-85.076332
0.679687,1.176270,-0.498047,62.809162,71.763359,-85.992363
0.489746,1.246582,-0.678223,19.320610,57.022900,-82.839691
0.275391,1.482666,-0.416016,-9.083969,25.305344,-80.526718
0.197754,1.680176,-0.135742,-58.900764,-35.160305,-66.137405
-0.273926,0.884521,-0.614014,-156.648849,6.236641,-28.946566
0.586914,1.689453,1.158936,-186.656494,-97.458015,-37.778625
0.585937,1.480957,0.935791,-250.137405,-158.938934,-28.389313
-0.041260,0.689697,1.984314,-250.137405,-24.396946,-4.045802
1.183350,-1.167969,-1.677979,-250.137405,-64.709923,-1.557252
1.084229,0.680664,1.984314,-159.786255,-88.488548,-30.885496
0.138672,-0.463135,1.984314,-114.442749,103.190842,-22.610687
0.058105,-0.229736,1.984314,-52.694656,157.885498,-29.358778
0.119385,0.834473,1.984314,7.076336,92.404579,-36.625954
0.467773,0.659668,-0.345459,-52.351147,-1.770992,-29.580153
-0.372070,0.317627,0.958984,-56.320610,103.312981,-13.412213
0.503906,-0.002930,-0.333496,-117.236641,-28.160305,-14.603053
0.410645,0.326660,0.600342,-88.320610,-76.137405,-23.511450
0.161377,0.209961,0.978760,-66.801529,-51.603054,-10.274809
0.228027,0.110107,0.931641,-58.717556,-32.938931,-4.770992
0.319580,0.057617,0.871582,-41.954197,-29.198473,-7.396946
0.436768,-0.004150,0.731201,-27.793894,-44.114502,-5.847328
0.569092,-0.197510,0.415283,-29.809160,-57.465649,7.633588
0.509033,-0.416260,0.276123,-40.305344,-26.091602,26.076336
0.463623,-0.080811,0.685303,-26.847328,-13.099236,25.335878
0.702881,0.341309,0.507080,-44.870228,-59.755726,26.442749
0.636719,0.246582,0.510742,-63.977100,-29.847328,37.557251
0.910889,0.388184,0.800293,-75.274811,-62.320610,21.328245
0.909668,0.162354,0.628174,-93.335876,-35.740459,24.587786
1.108154,0.237061,0.715332,-86.633591,-53.190838,11.946565
1.061279,0.201904,0.682373,-76.946564,-22.152672,1.312977
0.983154,0.195557,0.522217,-78.000000,-0.709924,2.748092
0.905518,0.298096,0.494141,-61.129772,-8.167939,-9.053435
0.769287,0.362549,0.457520,-38.671757,-10.748092,-16.312977
0.685547,0.414307,0.433594,-14.076336,-24.458015,-21.587786
0.677246,0.544922,0.403076,7.366412,-51.977100,-27.938931
0.785400,0.685547,0.394531,9.503817,-77.809158,-32.328243
0.958984,0.842285,0.491943,-4.969466,-84.572517,-34.702290
1.111328,0.915039,0.692139,-16.061069,-67.435112,-35.251907
1.157227,0.824951,0.827148,3.236641,-29.244274,-34.832062
1.095215,0.720703,0.821533,24.839695,6.442748,-41.129772
0.926514,0.616699,0.769531,49.572517,19.396946,-60.038166
0.728027,0.484863,0.728516,84.740456,13.167939,-70.832062
0.600830,0.414062,0.611816,130.656494,5.519084,-72.145035
0.547363,0.531250,0.463867,155.916031,-10.503817,-59.106869
0.623291,0.582764,0.441162,153.465652,-15.167939,-36.984734
0.700928,0.552979,0.367920,127.244278,-1.190840,-28.091602
0.676025,0.409668,0.206299,97.236641,12.763359,-13.610687
0.616211,0.228760,0.148926,70.984734,25.022902,5.656488
0.513184,0.364258,0.543457,84.664124,18.473282,15.893129
0.589111,0.691650,1.032227,81.572517,-31.618320,30.290077
0.524902,0.156738,0.352783,35.366413,41.022900,52.022900
1.079834,1.053467,1.984314,60.832062,-15.045801,15.442748
0.757812,0.929443,1.984314,60.549618,-45.251907,17.396946
-0.203613,0.376709,1.984314,101.206108,67.595421,40.725189
1.167480,-0.247803,-2.000000,10.732824,95.404579,67.061066
0.482666,1.486816,1.984314,63.549618,-51.259541,44.465649
