ax,ay,az,gx,gy,gz
0.541016,0.333252,0.676270,96.625954,-28.083969,33.442749
0.516846,0.233887,0.689941,121.083969,-27.496183,39.488548
0.528320,0.352051,0.688721,160.442749,-23.435114,43.580154
0.552979,0.408936,0.543701,178.977097,-27.610687,45.923664
0.578125,0.504150,0.410400,181.969467,-29.923664,45.282444
0.619385,0.796143,0.270508,172.595413,-29.000000,41.175571
0.632812,1.023438,0.216797,131.732819,-33.595421,34.519085
0.596191,1.029785,0.131592,72.839691,-46.984734,32.740459
0.591064,0.781982,0.214111,19.694656,-57.129772,37.503819
0.633301,0.548584,0.285889,-2.213740,-59.114502,45.374046
0.719238,0.408203,0.385986,-1.656489,-51.725189,42.244274
0.736328,0.315918,0.413818,10.832061,-42.328243,35.328243
0.751221,0.355957,0.384521,21.213741,-30.664122,33.526718
0.721191,0.476318,0.286865,15.045801,-27.206106,32.633587
0.687988,0.653076,0.207520,7.564886,-23.221375,33.129772
0.674072,0.650146,0.121826,-12.778625,-25.022902,31.190840
0.668457,0.497070,0.057373,-28.106871,-37.473282,25.480917
0.670166,0.403076,0.008789,-34.374046,-51.145039,17.343512
0.683350,0.450928,-0.008301,-33.732826,-56.328243,8.717557
0.690186,0.573486,0.009033,-33.938931,-58.709923,4.259542
0.700684,0.655518,-0.021973,-47.396946,-70.503815,3.053435
0.722656,0.663818,0.073975,-71.137405,-70.633591,6.824428
0.739990,0.659180,0.195557,-96.305344,-58.908398,11.908397
0.724121,0.617676,0.285156,-121.053436,-50.007633,8.442748
0.717041,0.544189,0.513428,-138.152664,-35.488548,11.709924
0.708740,0.482666,0.811035,-129.664124,-16.122137,2.076336
0.661133,0.374756,0.946289,-99.145035,-0.900763,-3.610687
0.590576,0.276855,0.910889,-63.320610,10.908397,-10.480916
0.545898,0.262451,0.730957,-29.862595,19.572519,-16.931297
0.505127,0.362061,0.459717,-7.671756,27.480917,-26.671755
0.423828,0.501953,0.264648,-4.381680,26.572519,-33.839695
0.346924,0.651367,0.119873,-18.099237,12.748092,-34.076336
0.347412,0.756592,0.097168,-45.213741,-13.633588,-33.244274
0.423096,0.735840,0.217773,-74.664124,-36.717556,-30.656488
0.527588,0.605225,0.323730,-99.251907,-49.312977,-25.045801
0.599854,0.384521,0.528076,-104.893127,-41.809162,-12.832061
0.681885,0.370850,0.508057,-107.099236,-35.183205,-19.328245
0.597168,0.227051,0.540527,-84.091606,-28.229008,-12.931297
0.640625,0.246826,0.375977,-50.740459,-19.755726,4.732824
